id,anomalous_pix_perc,cloud_cover,origin_x,origin_y,acquired,strip_id\n
20191027_150343_0f33,0,0,625497,4409850,2019-10-27T15:03:43.220164Z,2786426
20170915_155636_0f52,0.01,0,416964,4287714,2017-09-15T15:56:36.160646Z,756630
20170916_164839_104e,0.19,0.25,409086,4286361,2017-09-16T16:48:39.5218Z,760191
20170919_155557_1034,0.01,0.07,446334,4288635,2017-09-19T15:55:57.780976Z,768075
20170919_155558_1034,0.01,0.08,444636,4281507,2017-09-19T15:55:58.824511Z,768075
20170919_164702_104d,0.1,0.21,407649,4282173,2017-09-19T16:47:02.514146Z,768325
20170919_164704_104d,0.08,0.19,404922,4296000,2017-09-19T16:47:04.471104Z,768325
20170922_164517_104c,0.11,0.21,444135,4287900,2017-09-22T16:45:17.286067Z,776615
20170923_164516_0f2b,0.03,0.06,448152,4293819,2017-09-23T16:45:16.134403Z,779467
20170925_155312_0f38,0.01,0,440307,4287159,2017-09-25T15:53:12.494109Z,785313
20170925_155313_0f38,0,0,438687,4279962,2017-09-25T15:53:13.537977Z,785313
20170925_155314_0f38,0,0,436968,4272885,2017-09-25T15:53:14.581845Z,785313
20170925_164640_104c,0.01,0.03,406662,4276272,2017-09-25T16:46:40.284237Z,786459
20170926_155642_101f,0.02,0.03,418797,4295568,2017-09-26T15:56:42.269822Z,788108
20170929_164504_1053,0,0,425742,4281966,2017-09-29T16:45:04.486762Z,798785
20170929_164507_1053,0,0,421542,4302540,2017-09-29T16:45:07.427389Z,798785
20170929_164508_1053,0,0,420204,4309479,2017-09-29T16:45:08.407598Z,798785
20171002_155525_1030,0,0,423903,4300455,2017-10-02T15:55:25.132118Z,806765
20171002_155526_1030,0,0,422286,4293171,2017-10-02T15:55:26.166858Z,806765
20171002_164548_1052,0,0,409197,4276668,2017-10-02T16:45:48.247325Z,806987
20171007_164401_0f53,0.01,0.05,438072,4293312,2017-10-07T16:44:01.091042Z,818595
20171007_164403_0f53,0.02,0.09,435276,4307175,2017-10-07T16:44:03.048524Z,818595
20171014_151519_0c82,0,0,406293,4299216,2017-10-14T15:15:19.579924Z,837036
20171014_155603_101f,0,0,445908,4301784,2017-10-14T15:56:03.650668Z,837194
20171014_155607_101f,0,0,439056,4272648,2017-10-14T15:56:07.841792Z,837194
20171016_155554_1034,0,0,449562,4285299,2017-10-16T15:55:54.980322Z,841962
20171018_164247_0f4a,0,0,425961,4292196,2017-10-18T16:42:47.821974Z,847131
20171018_164250_0f4a,0,0,421905,4312374,2017-10-18T16:42:50.733288Z,847131
20171018_164302_0f21,0,0,421485,4288521,2017-10-18T16:43:02.80065Z,847204
20171019_144806_0c54,0,0,410037,4296498,2017-10-19T14:48:06.610631Z,849498
20171019_144811_0c54,0,0,436998,4317717,2017-10-19T14:48:11.29688Z,849498
20171019_155815_1005,0,0,405243,4290660,2017-10-19T15:58:15.046512Z,849574
20171019_164414_0f47,0,0,398589,4298613,2017-10-19T16:44:14.102464Z,849986
20171026_155953_0e26,0,0.02,396399,4309518,2017-10-26T15:59:53.258235Z,866639
20171029_164236_104a,0.05,0.22,402537,4274382,2017-10-29T16:42:36.845342Z,873548
20171029_164237_104a,0.04,0.19,401253,4281213,2017-10-29T16:42:37.813805Z,873548
20181006_155027_104d,0,0,416247,4289403,2018-10-06T15:50:27.536176Z,1749098
20181006_155029_104d,0,0,413571,4302795,2018-10-06T15:50:29.430953Z,1749098
20181007_160903_1010,0,0.14,426627,4302927,2018-10-07T16:09:03.997084Z,1751542
20181008_155108_0f44,0,0,399744,4281171,2018-10-08T15:51:08.619472Z,1754288
20181008_160910_1024,0,0,416529,4275279,2018-10-08T16:09:10.678655Z,1753871
20181011_155031_0f33,0,0.23,400956,4303230,2018-10-11T15:50:31.685448Z,1760676
20181011_160915_1032,0,0.09,423825,4285971,2018-10-11T16:09:15.085616Z,1801748
20181011_160916_1032,0,0.06,422175,4278642,2018-10-11T16:09:16.143105Z,1801748
20181011_161111_0f3f,0,0.22,398598,4301280,2018-10-11T16:11:11.817761Z,1760734
20181012_154816_0f4a,0,0.05,434880,4292826,2018-10-12T15:48:16.179143Z,1763351
20181012_154817_0f4a,0,0.19,433533,4299495,2018-10-12T15:48:17.126007Z,1763351
20181012_160505_0e20,0.01,0.09,453837,4306050,2018-10-12T16:05:05.841892Z,1762954
20181013_160825_1027,0,0.13,443850,4309758,2018-10-13T16:08:25.263441Z,1765130
20181013_161015_1038,0,0.12,411900,4280595,2018-10-13T16:10:15.397351Z,1765275
